Date,Daily_Consumption_kL
1/1/2019,60636.22642
1/2/2019,60636.22642
1/3/2019,60636.22642
1/4/2019,60636.22642
1/5/2019,66699.84906
1/6/2019,66699.84906
1/7/2019,60636.22642
1/8/2019,60636.22642
1/9/2019,60636.22642
1/10/2019,60636.22642
1/11/2019,60636.22642
1/12/2019,66699.84906
1/13/2019,66699.84906
1/14/2019,60636.22642
1/15/2019,60636.22642
1/16/2019,60636.22642
1/17/2019,60636.22642
1/18/2019,60636.22642
1/19/2019,66699.84906
1/20/2019,66699.84906
1/21/2019,60636.22642
1/22/2019,60636.22642
1/23/2019,60636.22642
1/24/2019,60636.22642
1/25/2019,60636.22642
1/26/2019,66699.84906
1/27/2019,66699.84906
1/28/2019,60636.22642
1/29/2019,60636.22642
1/30/2019,60636.22642
1/31/2019,60636.22642
2/1/2019,64683.78472
2/2/2019,71152.16319
2/3/2019,71152.16319
2/4/2019,64683.78472
2/5/2019,64683.78472
2/6/2019,64683.78472
2/7/2019,64683.78472
2/8/2019,64683.78472
2/9/2019,71152.16319
2/10/2019,71152.16319
2/11/2019,64683.78472
2/12/2019,64683.78472
2/13/2019,64683.78472
2/14/2019,64683.78472
2/15/2019,64683.78472
2/16/2019,71152.16319
2/17/2019,71152.16319
2/18/2019,64683.78472
2/19/2019,64683.78472
2/20/2019,64683.78472
2/21/2019,64683.78472
2/22/2019,64683.78472
2/23/2019,71152.16319
2/24/2019,71152.16319
2/25/2019,64683.78472
2/26/2019,64683.78472
2/27/2019,64683.78472
2/28/2019,64683.78472
3/1/2019,58709.78125
3/2/2019,64580.75938
3/3/2019,64580.75938
3/4/2019,58709.78125
3/5/2019,58709.78125
3/6/2019,58709.78125
3/7/2019,58709.78125
3/8/2019,58709.78125
3/9/2019,64580.75938
3/10/2019,64580.75938
3/11/2019,58709.78125
3/12/2019,58709.78125
3/13/2019,58709.78125
3/14/2019,58709.78125
3/15/2019,58709.78125
3/16/2019,64580.75938
3/17/2019,64580.75938
3/18/2019,58709.78125
3/19/2019,58709.78125
3/20/2019,58709.78125
3/21/2019,58709.78125
3/22/2019,58709.78125
3/23/2019,64580.75938
3/24/2019,64580.75938
3/25/2019,58709.78125
3/26/2019,58709.78125
3/27/2019,58709.78125
3/28/2019,58709.78125
3/29/2019,58709.78125
3/30/2019,64580.75938
3/31/2019,64580.75938
4/1/2019,57827.14286
4/2/2019,57827.14286
4/3/2019,57827.14286
4/4/2019,57827.14286
4/5/2019,57827.14286
4/6/2019,63609.85714
4/7/2019,63609.85714
4/8/2019,57827.14286
4/9/2019,57827.14286
4/10/2019,57827.14286
4/11/2019,57827.14286
4/12/2019,57827.14286
4/13/2019,63609.85714
4/14/2019,63609.85714
4/15/2019,57827.14286
4/16/2019,57827.14286
4/17/2019,57827.14286
4/18/2019,57827.14286
4/19/2019,57827.14286
4/20/2019,63609.85714
4/21/2019,63609.85714
4/22/2019,57827.14286
4/23/2019,57827.14286
4/24/2019,57827.14286
4/25/2019,57827.14286
4/26/2019,57827.14286
4/27/2019,63609.85714
4/28/2019,63609.85714
4/29/2019,57827.14286
4/30/2019,57827.14286
5/1/2019,51833.55346
5/2/2019,51833.55346
5/3/2019,51833.55346
5/4/2019,57016.90881
5/5/2019,57016.90881
5/6/2019,51833.55346
5/7/2019,51833.55346
5/8/2019,51833.55346
5/9/2019,51833.55346
5/10/2019,51833.55346
5/11/2019,57016.90881
5/12/2019,57016.90881
5/13/2019,51833.55346
5/14/2019,51833.55346
5/15/2019,51833.55346
5/16/2019,51833.55346
5/17/2019,51833.55346
5/18/2019,57016.90881
5/19/2019,57016.90881
5/20/2019,51833.55346
5/21/2019,51833.55346
5/22/2019,51833.55346
5/23/2019,51833.55346
5/24/2019,51833.55346
5/25/2019,57016.90881
5/26/2019,57016.90881
5/27/2019,51833.55346
5/28/2019,51833.55346
5/29/2019,51833.55346
5/30/2019,51833.55346
5/31/2019,51833.55346
6/1/2019,53639.33548
6/2/2019,53639.33548
6/3/2019,48763.03226
6/4/2019,48763.03226
6/5/2019,48763.03226
6/6/2019,48763.03226
6/7/2019,48763.03226
6/8/2019,53639.33548
6/9/2019,53639.33548
6/10/2019,48763.03226
6/11/2019,48763.03226
6/12/2019,48763.03226
6/13/2019,48763.03226
6/14/2019,48763.03226
6/15/2019,53639.33548
6/16/2019,53639.33548
6/17/2019,48763.03226
6/18/2019,48763.03226
6/19/2019,48763.03226
6/20/2019,48763.03226
6/21/2019,48763.03226
6/22/2019,53639.33548
6/23/2019,53639.33548
6/24/2019,48763.03226
6/25/2019,48763.03226
6/26/2019,48763.03226
6/27/2019,48763.03226
6/28/2019,48763.03226
6/29/2019,53639.33548
6/30/2019,53639.33548
7/1/2019,45333.86792
7/2/2019,45333.86792
7/3/2019,45333.86792
7/4/2019,45333.86792
7/5/2019,45333.86792
7/6/2019,49867.25472
7/7/2019,49867.25472
7/8/2019,45333.86792
7/9/2019,45333.86792
7/10/2019,45333.86792
7/11/2019,45333.86792
7/12/2019,45333.86792
7/13/2019,49867.25472
7/14/2019,49867.25472
7/15/2019,45333.86792
7/16/2019,45333.86792
7/17/2019,45333.86792
7/18/2019,45333.86792
7/19/2019,45333.86792
7/20/2019,49867.25472
7/21/2019,49867.25472
7/22/2019,45333.86792
7/23/2019,45333.86792
7/24/2019,45333.86792
7/25/2019,45333.86792
7/26/2019,45333.86792
7/27/2019,49867.25472
7/28/2019,49867.25472
7/29/2019,45333.86792
7/30/2019,45333.86792
7/31/2019,45333.86792
8/1/2019,47647.83699
8/2/2019,47647.83699
8/3/2019,52412.62069
8/4/2019,52412.62069
8/5/2019,47647.83699
8/6/2019,47647.83699
8/7/2019,47647.83699
8/8/2019,47647.83699
8/9/2019,47647.83699
8/10/2019,52412.62069
8/11/2019,52412.62069
8/12/2019,47647.83699
8/13/2019,47647.83699
8/14/2019,47647.83699
8/15/2019,47647.83699
8/16/2019,47647.83699
8/17/2019,52412.62069
8/18/2019,52412.62069
8/19/2019,47647.83699
8/20/2019,47647.83699
8/21/2019,47647.83699
8/22/2019,47647.83699
8/23/2019,47647.83699
8/24/2019,52412.62069
8/25/2019,52412.62069
8/26/2019,47647.83699
8/27/2019,47647.83699
8/28/2019,47647.83699
8/29/2019,47647.83699
8/30/2019,47647.83699
8/31/2019,52412.62069
9/1/2019,53501.68608
9/2/2019,48637.89644
9/3/2019,48637.89644
9/4/2019,48637.89644
9/5/2019,48637.89644
9/6/2019,48637.89644
9/7/2019,53501.68608
9/8/2019,53501.68608
9/9/2019,48637.89644
9/10/2019,48637.89644
9/11/2019,48637.89644
9/12/2019,48637.89644
9/13/2019,48637.89644
9/14/2019,53501.68608
9/15/2019,53501.68608
9/16/2019,48637.89644
9/17/2019,48637.89644
9/18/2019,48637.89644
9/19/2019,48637.89644
9/20/2019,48637.89644
9/21/2019,53501.68608
9/22/2019,53501.68608
9/23/2019,48637.89644
9/24/2019,48637.89644
9/25/2019,48637.89644
9/26/2019,48637.89644
9/27/2019,48637.89644
9/28/2019,53501.68608
9/29/2019,53501.68608
9/30/2019,48637.89644
10/1/2019,43426.69811
10/2/2019,43426.69811
10/3/2019,43426.69811
10/4/2019,43426.69811
10/5/2019,47769.36792
10/6/2019,47769.36792
10/7/2019,43426.69811
10/8/2019,43426.69811
10/9/2019,43426.69811
10/10/2019,43426.69811
10/11/2019,43426.69811
10/12/2019,47769.36792
10/13/2019,47769.36792
10/14/2019,43426.69811
10/15/2019,43426.69811
10/16/2019,43426.69811
10/17/2019,43426.69811
10/18/2019,43426.69811
10/19/2019,47769.36792
10/20/2019,47769.36792
10/21/2019,43426.69811
10/22/2019,43426.69811
10/23/2019,43426.69811
10/24/2019,43426.69811
10/25/2019,43426.69811
10/26/2019,47769.36792
10/27/2019,47769.36792
10/28/2019,43426.69811
10/29/2019,43426.69811
10/30/2019,43426.69811
10/31/2019,43426.69811
11/1/2019,40904.95146
11/2/2019,44995.4466
11/3/2019,44995.4466
11/4/2019,40904.95146
11/5/2019,40904.95146
11/6/2019,40904.95146
11/7/2019,40904.95146
11/8/2019,40904.95146
11/9/2019,44995.4466
11/10/2019,44995.4466
11/11/2019,40904.95146
11/12/2019,40904.95146
11/13/2019,40904.95146
11/14/2019,40904.95146
11/15/2019,40904.95146
11/16/2019,44995.4466
11/17/2019,44995.4466
11/18/2019,40904.95146
11/19/2019,40904.95146
11/20/2019,40904.95146
11/21/2019,40904.95146
11/22/2019,40904.95146
11/23/2019,44995.4466
11/24/2019,44995.4466
11/25/2019,40904.95146
11/26/2019,40904.95146
11/27/2019,40904.95146
11/28/2019,40904.95146
11/29/2019,40904.95146
11/30/2019,44995.4466
12/1/2019,52180.06897
12/2/2019,47436.42633
12/3/2019,47436.42633
12/4/2019,47436.42633
12/5/2019,47436.42633
12/6/2019,47436.42633
12/7/2019,52180.06897
12/8/2019,52180.06897
12/9/2019,47436.42633
12/10/2019,47436.42633
12/11/2019,47436.42633
12/12/2019,47436.42633
12/13/2019,47436.42633
12/14/2019,52180.06897
12/15/2019,52180.06897
12/16/2019,47436.42633
12/17/2019,47436.42633
12/18/2019,47436.42633
12/19/2019,47436.42633
12/20/2019,47436.42633
12/21/2019,52180.06897
12/22/2019,52180.06897
12/23/2019,47436.42633
